Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude
1,Home Hotspot,Digital,	430.43750,	439.43750,,1,1,None,HOTSPOT,None,Off,Off,,,,P2,No,No,No,90,Off,No,No,None,0,0
2,APRS,Analogue,	144.39000,	144.39000,12.5,,,,,,,,None,None,Disabled,P9,No,No,No,90,Off,No,No,APRS,0,0
3,W7BU Astoria,Analogue,	444.85000,	449.85000,12.5,,,,,,,,None,118.8,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
4,W7BU Chinook Meg,Analogue,	440.92500,	445.92500,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
5,NA7Q Chinook,Analogue,	440.96250,	445.96250,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
6,NM7R Chinook Meg,Analogue,	444.92500,	449.92500,12.5,,,,,,,,None,82.5,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
7,W7BU Astoria Wic,Analogue,	444.77500,	449.77500,12.5,,,,,,,,None,118.8,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
8,W7BU Astoria Wi1,Analogue,	442.50000,	447.50000,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
9,NM7R Long Beach,Analogue,	444.80000,	449.80000,12.5,,,,,,,,None,118.8,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
10,NM7R Naselle Nas,Analogue,	440.67500,	445.67500,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
11,N7PIR Seaside,Analogue,	443.87500,	448.87500,12.5,,,,,,,,100.0,100.0,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
