Contact Name,ID,ID Type,TS Override
ARRG 2,31418,Group,2
ARRG 2 1,31418,Group,1
Audio Test 2,9999,Group,2
BC 1,3027,Group,1
BC 2,103027,Group,2
BEARS 1,312488,Group,1
BEARS 2,312547,Group,2
Baynet 2,31075,Group,2
Bridge 2,3100,Group,2
CNJHam 2,31340,Group,2
CO Skyhub 2,310847,Group,2
Cactus 2,3185,Group,2
California 1,3106,Group,1
California 2,3106,Group,2
Canada 2,302,Group,2
Cascades 1,3191,Group,1
Colorado Mega 2,310759,Group,2
Emcom US 1,9911,Group,1
Emcom US 2,9911,Group,2
Hawaii 1-2,3115,Group,2
I-5 1,3168,Group,1
I-84 2,31419,Group,2
I-84 2 1,31419,Group,1
Idaho 1,3116,Group,1
Illinois-Link 2,31171,Group,2
Inland 2,465263,Group,2
King County 2,333153,Group,2
Link 1,8801,Group,1
Link 2,8802,Group,2
Link 3 1,8803,Group,1
Link 4 2,8804,Group,2
Link 5 1,8805,Group,1
Link 6 2,8806,Group,2
Local 1,3181,Group,1
MPRG 1-2,31301,Group,2
Metro 2,3166,Group,2
Michigan 1,3126,Group,1
Montana 2,3130,Group,2
Montana 2 1,3130,Group,1
Mountain 2,3177,Group,2
N.America 2,3163,Group,2
Net 2,31002,Group,2
OR Central 2,31411,Group,2
OR Central 2 1,31411,Group,1
Olympic P 1,31531,Group,1
Olympic P 2,31531,Group,2
Ontario 2,3023,Group,2
Oregon 1,3141,Group,1
Oregon 1 2,3141,Group,2
Oregon TAC 1,31410,Group,1
Oregon TAC 2,31410,Group,2
PNW 1,3187,Group,1
PNW 2,103187,Group,2
PNW 2 1,103187,Group,1
PNW Rgnl 2,31771,Group,2
PNW Rgnl 2 1,31771,Group,1
Parrot 1,9998,Group,1
Parrot BM 2,9990,Private,2
Puget Sound 2,31532,Group,2
Quadnet Array 2,31012,Group,2
RACOM ARC 2,315310,Group,2
Reddit 2,98003,Group,2
SAR-WV 2,314122,Group,2
SNARS 1-2,31328,Group,2
Seattle 1,803153,Group,1
Seattle 2,813153,Group,2
Simplex 99 1,99,Group,1
TAC 1 1,8951,Group,1
TAC 1 2,8951,Group,2
TAC 2 1,8952,Group,1
TAC 2 2,8952,Group,2
TAC 3 2,8953,Group,2
TAC 310 1,310,Group,1
TAC 310 2,310,Group,2
TAC 311 1,311,Group,1
TAC 311 2,311,Group,2
TAC 312 1,312,Group,1
TAC 312 2,312,Group,2
TG 2 1,2,Group,1
TG 9 1,9,Group,1
TG 9 2,9,Group,2
Texas 2,3148,Group,2
USA 2,1776,Group,2
WVisayas 5156 1,5156,Group,1
WW English 2,13,Group,2
Washington 1,3153,Group,1
Washington 1 2,3153,Group,2
Washington 2,103153,Group,2
Washington 2 1,103153,Group,1
Worldwide 2,3161,Group,2
Worldwide 2,91,Group,2
