Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude
1,Home Hotspot,Digital,	430.43750,	439.43750,,1,1,None,HOTSPOT,None,Off,Off,,,,P2,No,No,No,90,Off,No,No,None,0,0
2,APRS,Analogue,	144.39000,	144.39000,12.5,,,,,,,,None,None,Disabled,P9,No,No,No,90,Off,No,No,APRS,0,0
5,BC:W.Vancvr,Digital,	443.85000,	448.85000,,1,1,None,BC PNW,302718,Off,Off,,,,Master,No,No,No,90,Off,No,No,None,0,0
6,BC:N.Vancvr,Digital,	443.40000,	448.40000,,1,1,None,BC PNW,302701,Off,Off,,,,Master,No,No,No,90,Off,No,No,None,0,0
7,BC:Nanaimo,Digital,	440.82500,	445.82500,,1,1,None,BC PNW,302058,Off,Off,,,,Master,No,No,No,90,Off,No,No,None,0,0
8,BC:NewWstmnstr,Digital,	444.60000,	449.60000,,1,1,None,BC PNW,302700,Off,Off,,,,Master,No,No,No,90,Off,No,No,None,0,0
9,BC:PortAlberni,Digital,	444.25000,	449.25000,,1,1,None,BC PNW,302125,Off,Off,,,,Master,No,No,No,90,Off,No,No,None,0,0
10,BC:Squamish,Digital,	443.85000,	448.85000,,3,1,None,BC PNW,302025,Off,Off,,,,Master,No,No,No,90,Off,No,No,None,0,0
11,BC:UBC,Digital,	442.17500,	447.17500,,1,1,None,BC PNW,302719,Off,Off,,,,Master,No,No,No,90,Off,No,No,None,0,0
12,BC:Whistler,Digital,	443.85000,	448.85000,,2,1,None,BC PNW,302011,Off,Off,,,,Master,No,No,No,0,Off,No,No,None,0,0
13,WA1:Sultan,Digital,	444.40000,	449.40000,,1,1,None,SUL PNW,315315,Off,Off,,,,Master,No,No,No,90,Off,No,No,None,47.751,-120.7401
