TG List Name,Contact1,Contact2,Contact3,Contact4,Contact5,Contact6,Contact7,Contact8,Contact9,Contact10,Contact11,Contact12,Contact13,Contact14,Contact15,Contact16,Contact17,Contact18,Contact19,Contact20,Contact21,Contact22,Contact23,Contact24,Contact25,Contact26,Contact27,Contact28,Contact29,Contact30,Contact31,Contact32
HOTSPOT,Worldwide 2,Oregon 1,OR Central 2,Washington 1,Washington 2,Cascades 1,PNW 1,PNW 2,PNW Rgnl 2,BC 1,Idaho 1,TAC 1-2,TAC 2-2,TAC 3-2,Parrot BM 2,BM Worldwide,,,,,,,,,,,,,,,,
SEATTLE,Audio Test 2,King County 2,Parrot 1,Baynet 2,BEARS 1,BEARS 2,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Local 1,Local 2,PNW Rgnl 2,Puget Sound,Seattle 1,Seattle 2,TAC 313,Washington 1,Worldwide 2,,,,,,,,,,,
RRV PNW,Audio Test 2,BC 1,Cascades 1,Local 1,Metro 2,Montana 2,Oregon 1,PNW Rgnl 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 311-2,Utah 2,Washington 1,Washington 2,,,,,,,,,,,,,,,,,
ARA PNW,Audio Test 2,BC 1,Bridge 2,California 1,Cascades 1,I-5 1,Idaho 1,Local 1,Metro 2,Montana 2,N.America 2,Oregon 1,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,TAC 312-2,Utah 2,Washington 1,Washington 2,,,,,,,
BC PNW,BC 1,BC 2,Canada 2,I-5 1,N.America 2,Ontario 2,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,TAC 310-2,Washington 1,Washington 2,Worldwide 2,WW English 2,,,,,,,,,,,,,,,,,
IST PNW,Audio Test 2,BC 1,Bridge 2,California 1,Canada 2,Cascades 1,Hawaii 1-2,I-5 1,Idaho 1,Local 1,Metro 2,Montana 2,Net 2,Oregon 1,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,TAC 312-2,USA 2,Washington 1,Worldwide 2,,,,,
SUL PNW,BC 1,I-5 1,Idaho 1,Local 1,Metro 2,Oregon 1,Parrot 1,PNW 2,PNW Rgnl 2,TAC 310-2,TAC 311-2,TAC 312-2,Washington 1,Washington 2,,,,,,,,,,,,,,,,,,
WRL PNW,Audio Test 2,BC 1,Bridge 2,Cascades 1,Idaho 1,Local 1,Metro 2,Montana 2,N.America 2,Oregon 1,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,RACOM ARC 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,Utah 2,Washington 1,Washington 2,Worldwide 2,,,,,,,,,
BVC PNW,Audio Test 2,BC 1,Bridge 2,California 1,Canada 2,Cascades 1,Hawaii 1-2,I-5 1,Idaho 1,Local 1,Metro 2,Michigan 1,Mountain 2,Net 2,Oregon 1,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,SNARS 1-2,TAC 1-2,TAC 2-2,TAC 310-2,TAC 311-2,TAC 312-2,USA 2,Washington 1,Washington 2,,,,
BVV PNW,Audio Test 2,BC 1,Bridge 2,Cactus 2,California 1,Cascades 1,I-5 1,Idaho 1,Local 1,Metro 2,Mountain 2,N.America 2,Net 2,Oregon 1,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,TAC 312-2,USA 2,Washington 1,Washington 2,,,,,
BEU PNW,Audio Test 2,BC 1,Bridge 2,Canada 2,Cascades 1,I-5 1,Idaho 1,Local 1,Metro 2,Montana 2,Mountain 2,N.America 2,Net 2,Oregon 1,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,USA 2,Washington 1,Washington 2,,,,,,
BEV PNW,Audio Test 2,BC 1,California 1,Canada 2,Oregon 1,Cascades 1,I-5 1,Idaho 1,Local 1,Metro 2,Montana 2,N.America 2,Net 2,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,TAC 312-2,USA 2,Washington 1,Washington 2,,,,,,
BPC PNW,Audio Test 2,BC 1,Cascades 1,Hawaii 1-2,I-84 2,Local 1,Metro 2,Oregon 1,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,TAC 1-2,Washington 1,Washington 2,,,,,,,,,,,,,,,,,
CHB PNW,Audio Test 2,BC 1,Bridge 2,Cascades 1,I-5 1,Local 1,Metro 2,Mountain 2,N.America 2,Oregon 1,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,USA 2,Washington 1,Washington 2,,,,,,,,,,,
