Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude
1,FM 146.52,Analogue,	146.52000,	146.52000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
2,FM 146.53,Analogue,	146.53000,	146.53000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
3,FM 146.54,Analogue,	146.54000,	146.54000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
4,FM 146.55,Analogue,	146.55000,	146.55000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
5,FM 146.56,Analogue,	146.56000,	146.56000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
6,FM 146.57,Analogue,	146.57000,	146.57000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
7,FM 146.58,Analogue,	146.58000,	146.58000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
8,FM 147.52,Analogue,	147.52000,	147.52000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
9,FM 147.53,Analogue,	147.53000,	147.53000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
10,FM 147.54,Analogue,	147.54000,	147.54000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
11,FM 147.55,Analogue,	147.55000,	147.55000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
12,FM 147.56,Analogue,	147.56000,	147.56000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
13,FM 147.57,Analogue,	147.57000,	147.57000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
14,FM 147.58,Analogue,	147.58000,	147.58000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
15,FM 147.59,Analogue,	147.59000,	147.59000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
16,FM 147.60,Analogue,	147.60000,	147.60000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
17,FM 446.000,Analogue,	446.00000,	446.00000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
18,FM 446.025,Analogue,	446.02500,	446.02500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
19,FM 445.8,Analogue,	445.80000,	445.80000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
20,FM 445.825,Analogue,	445.82500,	445.82500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
21,FM 445.85,Analogue,	445.85000,	445.85000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
22,FM 445.875,Analogue,	445.87500,	445.87500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,90,Off,No,No,None,0,0
